GTF_tag,Locus_tag,Gene_name,Product
gene-Rv0314c,Rv0314c,Rv0314c,Possible conserved membrane protein
gene-Rv0315,Rv0315,Rv0315,"Possible beta-1,3-glucanase precursor"
gene-Rv0316,Rv0316,Rv0316,Possible muconolactone isomerase
gene-Rv0317c,Rv0317c,glpQ2,Possible glycerophosphoryl diester phosphodiesterase GlpQ2 (glycerophosphodiester phosphodiesterase)
gene-Rv0318c,Rv0318c,Rv0318c,Probable conserved integral membrane protein
gene-Rv0319,Rv0319,pcp,Probable pyrrolidone-carboxylate peptidase Pcp (5-oxoprolyl-peptidase) (pyroglutamyl-peptidase I) (PGP-I) (pyrase)
gene-Rv0320,Rv0320,Rv0320,Possible conserved exported protein
gene-Rv0321,Rv0321,dcd,Probable deoxycytidine triphosphate deaminase Dcd (dCTP deaminase)
gene-Rv0322,Rv0322,udgA,Probable UDP-glucose 6-dehydrogenase UdgA (UDP-GLC dehydrogenase) (UDP-GLCDH) (UDPGDH)
gene-Rv0323c,Rv0323c,Rv0323c,Conserved hypothetical protein
gene-Rv0324,Rv0324,Rv0324,Possible transcriptional regulatory protein (possibly ArsR-family)
gene-Rv0325,Rv0325,Rv0325,Hypothetical protein
gene-Rv0326,Rv0326,Rv0326,Hypothetical protein
gene-Rv0327c,Rv0327c,cyp135A1,Possible cytochrome P450 135A1 Cyp135A1
gene-Rv0328,Rv0328,Rv0328,Possible transcriptional regulatory protein (possibly TetR/AcrR-family)
gene-Rv0329c,Rv0329c,Rv0329c,Conserved hypothetical protein
gene-Rv0330c,Rv0330c,Rv0330c,Hypothetical protein
gene-Rv0331,Rv0331,Rv0331,Possible dehydrogenase/reductase
gene-Rv0332,Rv0332,Rv0332,Conserved protein
gene-Rv0333,Rv0333,Rv0333,Unknown protein
gene-Rv0334,Rv0334,rmlA,Alpha-D-glucose-1-phosphate thymidylyltransferase RmlA (dTDP-glucose synthase) (dTDP-glucose pyrophosphorylase)
gene-Rv0335c,Rv0335c,PE6,PE family protein PE6
gene-Rv0336,Rv0336,Rv0336,Conserved 13E12 repeat family protein
gene-Rv0337c,Rv0337c,aspC,Probable aspartate aminotransferase AspC (transaminase A) (ASPAT)
gene-Rv0338c,Rv0338c,Rv0338c,Probable iron-sulfur-binding reductase
gene-Rv0339c,Rv0339c,Rv0339c,Possible transcriptional regulatory protein
gene-Rv0340,Rv0340,Rv0340,Conserved protein
gene-Rv0341,Rv0341,iniB,Isoniazid inductible gene protein IniB
gene-Rv0342,Rv0342,iniA,Isoniazid inductible gene protein IniA
gene-Rv0343,Rv0343,iniC,Isoniazid inductible gene protein IniC
gene-Rv0344c,Rv0344c,lpqJ,Probable lipoprotein LpqJ
gene-Rv0345,Rv0345,Rv0345,Conserved hypothetical protein
gene-Rv0346c,Rv0346c,ansP2,Possible L-asparagine permease AnsP2 (L-asparagine transport protein)
gene-Rv0347,Rv0347,Rv0347,Probable conserved membrane protein
gene-Rv0348,Rv0348,Rv0348,Possible transcriptional regulatory protein
gene-Rv0349,Rv0349,Rv0349,Hypothetical protein
gene-Rv0350,Rv0350,dnaK,Probable chaperone protein DnaK (heat shock protein 70) (heat shock 70 kDa protein) (HSP70)
gene-Rv0351,Rv0351,grpE,Probable GrpE protein (HSP-70 cofactor)
gene-Rv0352,Rv0352,dnaJ1,Probable chaperone protein DnaJ1
gene-Rv0353,Rv0353,hspR,Probable heat shock protein transcriptional repressor HspR (MerR family)
gene-Rv0354c,Rv0354c,PPE7,PPE family protein PPE7
gene-Rv0355c,Rv0355c,PPE8,PPE family protein PPE8
gene-Rv0356c,Rv0356c,Rv0356c,Conserved protein
gene-Rv0357c,Rv0357c,purA,Probable adenylosuccinate synthetase PurA (imp--aspartate ligase) (ADSS) (ampsase)
gene-Rv0358,Rv0358,Rv0358,Conserved protein
gene-Rv0359,Rv0359,Rv0359,Probable conserved integral membrane protein
gene-Rv0360c,Rv0360c,Rv0360c,Conserved protein
gene-Rv0361,Rv0361,Rv0361,Probable conserved membrane protein
gene-Rv0362,Rv0362,mgtE,Possible Mg2+ transport transmembrane protein MgtE
gene-Rv0363c,Rv0363c,fba,Probable fructose-bisphosphate aldolase Fba
gene-Rv0364,Rv0364,Rv0364,Possible conserved transmembrane protein
gene-Rv0365c,Rv0365c,Rv0365c,Conserved protein
gene-Rv0366c,Rv0366c,Rv0366c,Conserved hypothetical protein
gene-Rv0367c,Rv0367c,Rv0367c,Hypothetical protein
gene-Rv0368c,Rv0368c,Rv0368c,Conserved hypothetical protein
gene-Rv0369c,Rv0369c,Rv0369c,Possible membrane oxidoreductase
gene-Rv0370c,Rv0370c,Rv0370c,Possible oxidoreductase
gene-Rv0371c,Rv0371c,Rv0371c,Conserved hypothetical protein
gene-Rv0372c,Rv0372c,Rv0372c,Conserved hypothetical protein
gene-Rv0373c,Rv0373c,Rv0373c,Probable carbon monoxyde dehydrogenase (large chain)
gene-Rv0374c,Rv0374c,Rv0374c,Probable carbon monoxyde dehydrogenase (small chain)
gene-Rv0375c,Rv0375c,Rv0375c,Probable carbon monoxyde dehydrogenase (medium chain)
gene-Rv0376c,Rv0376c,Rv0376c,Conserved hypothetical protein
gene-Rv0377,Rv0377,Rv0377,Probable transcriptional regulatory protein (probably LysR-family)
gene-Rv0378,Rv0378,Rv0378,Conserved hypothetical glycine rich protein
gene-Rv0379,Rv0379,secE2,Possible protein transport protein SecE2
gene-Rv0380c,Rv0380c,Rv0380c,Possible RNA methyltransferase (RNA methylase)
gene-Rv0381c,Rv0381c,Rv0381c,Hypothetical protein
gene-Rv0382c,Rv0382c,pyrE,Probable orotate phosphoribosyltransferase PyrE (OPRT) (oprtase)
gene-Rv0383c,Rv0383c,Rv0383c,Possible conserved secreted protein
gene-Rv0384c,Rv0384c,clpB,Probable endopeptidase ATP binding protein (chain B) ClpB (ClpB protein) (heat shock protein F84.1)
gene-Rv0385,Rv0385,Rv0385,Probable monooxygenase
gene-Rv0386,Rv0386,Rv0386,Probable transcriptional regulatory protein (probably LuxR/UhpA-family)
gene-Rv0387c,Rv0387c,Rv0387c,Conserved hypothetical protein
gene-Rv0388c,Rv0388c,PPE9,PPE family protein PPE9
gene-Rv0389,Rv0389,purT,Probable phosphoribosylglycinamide formyltransferase 2 PurT (GART 2) (gar transformylase 2) (5'-phosphoribosylglycinamide transformylase 2) (formate-dependent gar transformylase)
gene-Rv0390,Rv0390,Rv0390,Conserved protein
gene-Rv0391,Rv0391,metZ,Probable O-succinylhomoserine sulfhydrylase MetZ (OSH sulfhydrylase)
gene-Rv0392c,Rv0392c,ndhA,Probable membrane NADH dehydrogenase NdhA
gene-Rv0393,Rv0393,Rv0393,Conserved 13E12 repeat family protein
gene-Rv0394c,Rv0394c,Rv0394c,Possible secreted protein
gene-Rv0395,Rv0395,Rv0395,Hypothetical protein
gene-Rv0396,Rv0396,Rv0396,Hypothetical protein
gene-Rv0397,Rv0397,Rv0397,Conserved 13E12 repeat family protein
gene-Rv0397A,Rv0397A,Rv0397A,Conserved protein
gene-Rv0398c,Rv0398c,Rv0398c,Possible secreted protein
gene-Rv0399c,Rv0399c,lpqK,Possible conserved lipoprotein LpqK
gene-Rv0400c,Rv0400c,fadE7,Acyl-CoA dehydrogenase FadE7
gene-Rv0401,Rv0401,Rv0401,Probable conserved transmembrane protein
gene-Rv0402c,Rv0402c,mmpL1,Probable conserved transmembrane transport protein MmpL1
gene-Rv0403c,Rv0403c,mmpS1,Probable conserved membrane protein MmpS1
gene-Rv0404,Rv0404,fadD30,Fatty-acid-AMP ligase FadD30 (fatty-acid-AMP synthetase) (fatty-acid-AMP synthase)
gene-Rv0405,Rv0405,pks6,Probable membrane bound polyketide synthase Pks6
gene-Rv0406c,Rv0406c,Rv0406c,Beta lactamase like protein
gene-Rv0407,Rv0407,fgd1,F420-dependent glucose-6-phosphate dehydrogenase Fgd1
gene-Rv0408,Rv0408,pta,Probable phosphate acetyltransferase Pta (phosphotransacetylase)
gene-Rv0409,Rv0409,ackA,Probable acetate kinase AckA (acetokinase)
gene-Rv0410c,Rv0410c,pknG,Serine/threonine-protein kinase PknG (protein kinase G) (STPK G)
gene-Rv0411c,Rv0411c,glnH,Probable glutamine-binding lipoprotein GlnH (GLNBP)
gene-Rv0412c,Rv0412c,Rv0412c,Possible conserved membrane protein
gene-Rv0413,Rv0413,mutT3,"Possible mutator protein MutT3 (7,8-dihydro-8-oxoguanine-triphosphatase) (8-oxo-dGTPase) (dGTP pyrophosphohydrolase)"
gene-Rv0414c,Rv0414c,thiE,Thiamine-phosphate pyrophosphorylase ThiE (TMP pyrophosphorylase) (TMP-PPASE) (thiamine-phosphate synthase)
gene-Rv0415,Rv0415,thiO,Possible thiamine biosynthesis oxidoreductase ThiO
gene-Rv0416,Rv0416,thiS,Possible protein ThiS
gene-Rv0417,Rv0417,thiG,Probable thiamin biosynthesis protein ThiG (thiazole biosynthesis protein)
gene-Rv0418,Rv0418,lpqL,Probable lipoprotein aminopeptidase LpqL
gene-Rv0419,Rv0419,lpqM,Possible lipoprotein peptidase LpqM
gene-Rv0420c,Rv0420c,Rv0420c,Possible transmembrane protein
gene-Rv0421c,Rv0421c,Rv0421c,Conserved hypothetical protein
gene-Rv0422c,Rv0422c,thiD,Probable phosphomethylpyrimidine kinase ThiD (HMP-phosphate kinase) (HMP-P kinase)
gene-Rv0423c,Rv0423c,thiC,Probable thiamine biosynthesis protein ThiC
gene-Rv0424c,Rv0424c,Rv0424c,Hypothetical protein
gene-Rv0425c,Rv0425c,ctpH,Possible metal cation transporting P-type ATPase CtpH
gene-Rv0426c,Rv0426c,Rv0426c,Possible transmembrane protein
gene-Rv0427c,Rv0427c,xthA,Probable exodeoxyribonuclease III protein XthA (exonuclease III) (EXO III) (AP endonuclease VI)
gene-Rv0428c,Rv0428c,Rv0428c,GCN5-related N-acetyltransferase
gene-Rv0429c,Rv0429c,def,Probable polypeptide deformylase Def (PDF) (formylmethionine deformylase)
gene-Rv0430,Rv0430,Rv0430,Conserved hypothetical protein
gene-Rv0431,Rv0431,Rv0431,Putative tuberculin related peptide
gene-Rv0432,Rv0432,sodC,Periplasmic superoxide dismutase [Cu-Zn] SodC
gene-Rv0433,Rv0433,Rv0433,Conserved hypothetical protein
gene-Rv0434,Rv0434,Rv0434,Conserved hypothetical protein
gene-Rv0435c,Rv0435c,Rv0435c,Putative conserved ATPase
gene-Rv0436c,Rv0436c,pssA,Probable CDP-diacylglycerol--serine O-phosphatidyltransferase PssA (PS synthase) (phosphatidylserine synthase)
gene-Rv0437c,Rv0437c,psd,Possible phosphatidylserine decarboxylase Psd (PS decarboxylase)
gene-Rv0438c,Rv0438c,moeA2,Probable molybdopterin biosynthesis protein MoeA2
gene-Rv0439c,Rv0439c,Rv0439c,Probable dehydrogenase/reductase
gene-Rv0440,Rv0440,groEL2,60 kDa chaperonin 2 GroEL2 (protein CPN60-2) (GroEL protein 2) (65 kDa antigen) (heat shock protein 65) (cell wall protein A) (antigen A)
gene-Rv0441c,Rv0441c,Rv0441c,Hypothetical protein
gene-Rv0442c,Rv0442c,PPE10,PPE family protein PPE10
gene-Rv0443,Rv0443,Rv0443,Conserved protein
gene-Rv0444c,Rv0444c,rskA,Anti-sigma factor RskA (regulator of sigma K)
gene-Rv0445c,Rv0445c,sigK,Alternative RNA polymerase sigma factor SigK
gene-Rv0446c,Rv0446c,Rv0446c,Possible conserved transmembrane protein
gene-Rv0447c,Rv0447c,ufaA1,Probable cyclopropane-fatty-acyl-phospholipid synthase UfaA1 (cyclopropane fatty acid synthase) (CFA synthase)
gene-Rv0448c,Rv0448c,Rv0448c,Conserved hypothetical protein
gene-Rv0449c,Rv0449c,Rv0449c,Conserved hypothetical protein
gene-Rv0450c,Rv0450c,mmpL4,Probable conserved transmembrane transport protein MmpL4
gene-Rv0451c,Rv0451c,mmpS4,Probable conserved membrane protein MmpS4
gene-Rv0452,Rv0452,Rv0452,Possible transcriptional regulatory protein
gene-Rv0453,Rv0453,PPE11,PPE family protein PPE11
gene-Rv0454,Rv0454,Rv0454,Conserved hypothetical protein
gene-Rv0455c,Rv0455c,Rv0455c,Conserved protein
gene-Rv0456c,Rv0456c,mazF1,enoyl-CoA hydratase EchA2 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase)
gene-Rv0456A,Rv0456A,Rv0456B,Possible toxin MazF1
gene-Rv0456B,Rv0456B,echA2,Possible antitoxin MazE1
gene-Rv0457c,Rv0457c,Rv0457c,Probable peptidase
gene-Rv0458,Rv0458,Rv0458,Probable aldehyde dehydrogenase
gene-Rv0459,Rv0459,Rv0459,Conserved hypothetical protein
gene-Rv0460,Rv0460,Rv0460,Conserved hydrophobic protein
gene-Rv0461,Rv0461,Rv0461,Probable transmembrane protein
gene-Rv0462,Rv0462,lpdC,Dihydrolipoamide dehydrogenase LpdC (lipoamide reductase (NADH)) (lipoyl dehydrogenase) (dihydrolipoyl dehydrogenase) (diaphorase)
gene-Rv0463,Rv0463,Rv0463,Probable conserved membrane protein
gene-Rv0464c,Rv0464c,Rv0464c,Conserved protein
gene-Rv0465c,Rv0465c,Rv0465c,Probable transcriptional regulatory protein
gene-Rv0466,Rv0466,Rv0466,Conserved protein
gene-Rv0467,Rv0467,icl1,Isocitrate lyase Icl (isocitrase) (isocitratase)
gene-Rv0468,Rv0468,fadB2,3-hydroxybutyryl-CoA dehydrogenase FadB2 (beta-hydroxybutyryl-CoA dehydrogenase) (BHBD)
gene-Rv0469,Rv0469,umaA,Possible mycolic acid synthase UmaA
gene-Rv0470c,Rv0470c,Rv0470A,Mycolic acid synthase PcaA (cyclopropane synthase)
gene-Rv0470A,Rv0470A,pcaA,Hypothetical protein
gene-Rv0471c,Rv0471c,Rv0471c,Hypothetical protein
gene-Rv0472c,Rv0472c,Rv0472c,Probable transcriptional regulatory protein (possibly TetR-family)
gene-Rv0473,Rv0473,Rv0473,Possible conserved transmembrane protein
gene-Rv0474,Rv0474,Rv0474,Probable transcriptional regulatory protein
gene-Rv0475,Rv0475,hbhA,Iron-regulated heparin binding hemagglutinin HbhA (adhesin)
gene-Rv0476,Rv0476,Rv0476,Possible conserved transmembrane protein
gene-Rv0477,Rv0477,Rv0477,Possible conserved secreted protein
gene-Rv0478,Rv0478,deoC,Probable deoxyribose-phosphate aldolase DeoC (phosphodeoxyriboaldolase) (deoxyriboaldolase)
gene-Rv0479c,Rv0479c,Rv0479c,Probable conserved membrane protein
gene-Rv0480c,Rv0480c,Rv0480c,Possible amidohydrolase
gene-Rv0481c,Rv0481c,Rv0481c,Hypothetical protein
gene-Rv0482,Rv0482,murB,Probable UDP-N-acetylenolpyruvoylglucosamine reductase MurB (UDP-N-acetylmuramate dehydrogenase)
gene-Rv0483,Rv0483,lprQ,Probable conserved lipoprotein LprQ
gene-Rv0484c,Rv0484c,Rv0484c,Probable short-chain type oxidoreductase
gene-Rv0485,Rv0485,Rv0485,Possible transcriptional regulatory protein
gene-Rv0486,Rv0486,mshA,Glycosyltransferase MshA
gene-Rv0487,Rv0487,Rv0487,Conserved hypothetical protein
gene-Rv0488,Rv0488,Rv0488,Probable conserved integral membrane protein
gene-Rv0489,Rv0489,gpm1,Probable phosphoglycerate mutase 1 Gpm1 (phosphoglyceromutase) (PGAM) (BPG-dependent PGAM)
gene-Rv0490,Rv0490,senX3,Putative two component sensor histidine kinase SenX3
gene-Rv0491,Rv0491,regX3,Two component sensory transduction protein RegX3 (transcriptional regulatory protein) (probably LuxR-family)
gene-Rv0492c,Rv0492c,Rv0492A,Probable oxidoreductase GMC-type
gene-Rv0492A,Rv0492A,Rv0492c,Hypothetical protein
gene-Rv0493c,Rv0493c,Rv0493c,Conserved protein
gene-Rv0494,Rv0494,Rv0494,Probable transcriptional regulatory protein (probably GntR-family)
gene-Rv0495c,Rv0495c,Rv0495c,Conserved hypothetical protein
gene-Rv0496,Rv0496,Rv0496,Conserved hypothetical protein
gene-Rv0497,Rv0497,Rv0497,Probable conserved transmembrane protein
gene-Rv0498,Rv0498,Rv0498,Conserved hypothetical protein
gene-Rv0499,Rv0499,Rv0499,Conserved hypothetical protein
gene-Rv0500,Rv0500,proC,Probable pyrroline-5-carboxylate reductase ProC (P5CR) (P5C reductase)
gene-Rv0500A,Rv0500A,Rv0500A,Conserved protein
gene-Rv0500B,Rv0500B,Rv0500B,Conserved hypothetical protein
gene-Rv0501,Rv0501,galE2,Possible UDP-glucose 4-epimerase GalE2 (galactowaldenase) (UDP-galactose 4-epimerase) (uridine diphosphate galactose 4-epimerase) (uridine diphospho-galactose 4-epimerase)
gene-Rv0502,Rv0502,Rv0502,Conserved protein
gene-Rv0503c,Rv0503c,cmaA2,Cyclopropane-fatty-acyl-phospholipid synthase 2 CmaA2 (cyclopropane fatty acid synthase) (CFA synthase) (cyclopropane mycolic acid synthase 2) (mycolic acid trans-cyclopropane synthetase)
gene-Rv0504c,Rv0504c,Rv0504c,Conserved protein
gene-Rv0505c,Rv0505c,serB1,Possible phosphoserine phosphatase SerB1 (PSP) (O-phosphoserine phosphohydrolase) (pspase)
gene-Rv0506,Rv0506,mmpS2,Probable conserved membrane protein MmpS2
gene-Rv0507,Rv0507,mmpL2,Probable conserved transmembrane transport protein MmpL2
gene-Rv0508,Rv0508,Rv0508,Conserved hypothetical protein
gene-Rv0509,Rv0509,hemA,Probable glutamyl-tRNA reductase HemA (GLUTR)
gene-Rv0510,Rv0510,hemC,Probable porphobilinogen deaminase HemC (PBG) (hydroxymethylbilane synthase) (HMBS) (pre-uroporphyrinogen synthase)
gene-Rv0511,Rv0511,hemD,Probable uroporphyrin-III C-methyltransferase HemD (uroporphyrinogen III methylase) (urogen III methylase) (SUMT) (urogen III methylase) (UROM)
gene-Rv0512,Rv0512,hemB,Probable delta-aminolevulinic acid dehydratase HemB (porphobilinogen synthase) (ALAD) (ALADH)
gene-Rv0513,Rv0513,Rv0513,Possible conserved transmembrane protein
gene-Rv0514,Rv0514,Rv0514,Possible transmembrane protein
gene-Rv0515,Rv0515,Rv0515,Conserved 13E12 repeat family protein
gene-Rv0516c,Rv0516c,Rv0516c,Possible anti-anti-sigma factor
gene-Rv0517,Rv0517,Rv0517,Possible membrane acyltransferase
gene-Rv0518,Rv0518,Rv0518,Possible exported protein
gene-Rv0519c,Rv0519c,Rv0519c,Possible conserved membrane protein
gene-Rv0520,Rv0520,Rv0520,Possible methyltransferase/methylase (fragment)
gene-Rv0521,Rv0521,Rv0521,Possible methyltransferase/methylase (fragment)
gene-Rv0522,Rv0522,gabP,Probable GABA permease GabP (4-amino butyrate transport carrier) (GAMA-aminobutyrate permease)
gene-Rv0523c,Rv0523c,Rv0523c,Conserved protein
gene-Rv0524,Rv0524,hemL,"Probable glutamate-1-semialdehyde 2,1-aminomutase HemL (GSA) (glutamate-1-semialdehyde aminotransferase) (GSA-at)"
gene-Rv0525,Rv0525,Rv0525,Conserved protein
gene-Rv0526,Rv0526,Rv0526,Possible thioredoxin protein (thiol-disulfide interchange protein)
gene-Rv0527,Rv0527,ccdA,Possible cytochrome C-type biogenesis protein CcdA
gene-Rv0528,Rv0528,Rv0528,Probable conserved transmembrane protein
gene-Rv0529,Rv0529,ccsA,Possible cytochrome C-type biogenesis protein CcsA
gene-Rv0530,Rv0530,Rv0530,Conserved protein
gene-Rv0530A,Rv0530A,Rv0530Ac,Conserved protein
gene-Rv0531,Rv0531,Rv0531,Possible conserved membrane protein
gene-Rv0532,Rv0532,PE-PGRS6,PE-PGRS family protein PE_PGRS6
gene-Rv0533c,Rv0533c,fabH,3-oxoacyl-[acyl-carrier-protein] synthase III FabH (beta-ketoacyl-ACP synthase III) (KAS III)
gene-Rv0534c,Rv0534c,menA,"1,4-dihydroxy-2-naphthoate octaprenyltransferase MenA (DHNA-octaprenyltransferase)"
gene-Rv0535,Rv0535,pnp,Probable 5'-methylthioadenosine phosphorylase Pnp (MTA phosphorylase)
gene-Rv0536,Rv0536,galE3,Probable UDP-glucose 4-epimerase GalE3 (galactowaldenase) (UDP-galactose 4-epimerase) (uridine diphosphate galactose 4-epimerase) (uridine diphospho-galactose 4-epimerase)
gene-Rv0537c,Rv0537c,Rv0537c,Probable integral membrane protein
gene-Rv0538,Rv0538,Rv0538,Possible conserved membrane protein
gene-Rv0539,Rv0539,Rv0539,Probable dolichyl-phosphate sugar synthase (dolichol-phosphate sugar synthetase) (dolichol-phosphate sugar transferase) (sugar phosphoryldolichol synthase)
gene-Rv0540,Rv0540,Rv0540,Conserved hypothetical protein
gene-Rv0541c,Rv0541c,Rv0541c,Probable conserved integral membrane protein
gene-Rv0542c,Rv0542c,menE,Possible O-succinylbenzoic acid--CoA ligase MenE (OSB-CoA synthetase) (O-succinylbenzoate-CoA synthase)
gene-Rv0543c,Rv0543c,Rv0543c,Conserved protein
gene-Rv0544c,Rv0544c,Rv0544c,Possible conserved transmembrane protein
gene-Rv0545c,Rv0545c,pitA,Probable low-affinity inorganic phosphate transporter integral membrane protein PitA
gene-Rv0546c,Rv0546c,Rv0546c,Conserved protein
gene-Rv0547c,Rv0547c,Rv0547c,Possible oxidoreductase
gene-Rv0548c,Rv0548c,menB,Naphthoate synthase MenB (dihydroxynaphthoic acid synthetase) (DHNA synthetase)
gene-Rv0549c,Rv0549c,Rv0549c,Possible toxin VapC3
gene-Rv0550c,Rv0550c,Rv0550c,Possible antitoxin VapB3
gene-Rv0551c,Rv0551c,fadD8,Probable fatty-acid-CoA ligase FadD8 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)
gene-Rv0552,Rv0552,Rv0552,Conserved protein
gene-Rv0553,Rv0553,menC,"Probable muconate cycloisomerase MenC (cis,cis-muconate lactonizing enzyme) (MLE)"
gene-Rv0554,Rv0554,bpoC,Possible peroxidase BpoC (non-haem peroxidase)
gene-Rv0555,Rv0555,menD,"Probable bifunctional menaquinone biosynthesis protein MenD : 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (SHCHC synthase) + 2-oxoglutarate decarboxylase (alpha- ketoglutarate decarboxylase) (KDC)"
gene-Rv0556,Rv0556,Rv0556,Probable conserved transmembrane protein
gene-Rv0557,Rv0557,mgtA,Mannosyltransferase MgtA
gene-Rv0558,Rv0558,menH,"Probable ubiquinone/menaquinone biosynthesis methyltransferase MenH (2-heptaprenyl-1,4-naphthoquinone methyltransferase)"
gene-Rv0559c,Rv0559c,Rv0559c,Possible conserved secreted protein
gene-Rv0560c,Rv0560c,Rv0560c,Possible benzoquinone methyltransferase (methylase)
gene-Rv0561c,Rv0561c,Rv0561c,Possible oxidoreductase
gene-Rv0562,Rv0562,grcC1,Probable polyprenyl-diphosphate synthase GrcC1 (polyprenyl pyrophosphate synthetase)
gene-Rv0563,Rv0563,htpX,Probable protease transmembrane protein heat shock protein HtpX
gene-Rv0564c,Rv0564c,gpdA1,Probable glycerol-3-phosphate dehydrogenase [NAD(P)+] GpdA1 (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase) (NAD(P)H-dependent dihydroxyacetone-phosphate reductase)
gene-Rv0565c,Rv0565c,Rv0565c,Probable monooxygenase
gene-Rv0566c,Rv0566c,Rv0566c,Conserved protein
gene-Rv0567,Rv0567,Rv0567,Probable methyltransferase/methylase
gene-Rv0568,Rv0568,cyp135B1,Possible cytochrome P450 135B1 Cyp135B1
gene-Rv0569,Rv0569,Rv0569,Conserved protein
gene-Rv0570,Rv0570,nrdZ,Probable ribonucleoside-diphosphate reductase (large subunit) NrdZ (ribonucleotide reductase)
gene-Rv0571c,Rv0571c,Rv0571c,Conserved protein
gene-Rv0572c,Rv0572c,Rv0572c,Hypothetical protein
gene-Rv0573c,Rv0573c,pncB2,Nicotinic acid phosphoribosyltransferase PncB2
gene-Rv0574c,Rv0574c,Rv0574c,Conserved hypothetical protein
